001.00	130,204,80,345,320,174,275,267,133,437,438,124,203,202,580
002.00	130,204,80,345,320,174,275,267,133,437,438,124,203,202,580
003.00	130,204,80,345,320,174,275,267,133,437,438,124,203,202,580
004.00	187,246,44,200,251,349,242,407,232,394,68,406,264,314
005.00	187,246,44,200,251,349,242,407,232,394,68,406,264,314
006.00	187,246,44,200,251,349,242,407,232,394,68,406,264,314
007.00	243,114,54,193,175,287,300,281,330,252,392,453,323,362,406,396
008.00	243,114,54,193,175,287,300,281,330,252,392,453,323,362,406,396
009.00	243,114,54,193,175,287,300,281,330,252,392,453,323,362,406,396
010.00	
011.00	
012.00	
013.00	
014.00	
015.00	
016.00	228,185,193,211,314,403,413,253,432
017.00	228,185,193,211,314,403,413,253,432
018.00	228,185,193,211,314,403,413,253,432
019.00	103,172,154,44,68,179,253,387,382,279,515
019.01	154,68,179,253,382,279,515,289,254,415,256
019.01	92,237,241,269,58,59,182,240,218,216,247,104,188,259,263,156,213,168,496,511,373,421,447,207,214,369,164,555,399,590
020.00	
021.00	185,184,98,161,310,143,18,253,297,211,13
022.00	185,184,98,161,310,143,18,253,297,211,13
023.00	228,21,180,251,305,184,342,50,415,231,389,289
024.00	228,21,180,251,305,184,342,50,415,231,389,289
025.00	179,117,217,227,3,273,268,252,9,321,175,203,381,516,574,604
026.00	
027.00	175,68,229,232,306,400,341,203,498,431,563
027.01	175,68,232,306,400,203,498,333,556,174,133
028.00	
029.00	48,50,36,116,204,68,251,228,130,231,342,203,498,599
030.00	48,50,36,116,204,68,251,228,130,231,342,203,498,599
031.00	48,50,36,116,204,68,251,228,130,231,342,203,498,599
032.00	68,50,48,36,133,93,251,389,457,231,342,203,498,599
033.00	68,50,48,36,133,93,251,389,457,231,342,203,498,599
034.00	68,50,48,36,133,93,251,389,457,231,342,203,498,599
035.00	217,118,133,187,150,102,273,313,343,312,500,321,581,505
036.00	217,118,133,187,150,102,273,313,343,312,500,321,581,505
037.00	185,95,175,180,50,336,257,394,326,384,290,506,541,445
037.01	95,175,180,50,336,326,384,290,541,573,97,227,585,204
038.00	
039.00	195,217,185,273,313,387,343,356,214,445,386,581,505
040.00	195,217,185,273,313,387,343,356,214,445,386,581,505
041.00	98,228,185,16,18,174,417,95,428,413,202,211,432,599
042.00	98,228,185,16,18,174,417,95,428,413,202,211,432,599
043.00	75,175,235,204,275,321,298,290,267,495
044.00	75,175,235,204,275,321,298,290,267,495
045.00	75,175,235,204,275,321,298,290,267,495
046.00	103,68,60,175,230,228,232,450,440,97,203,363,73,469,563,565
047.00	103,68,60,175,230,228,232,450,440,97,203,363,73,469,563,565
048.00	226,103,202,324,97,234,390,450,290,285,476
049.00	226,103,202,324,97,234,390,450,290,285,476
050.00	185,103,246,228,251,253,426,310,179,29,203,515,262
050.01	185,246,228,251,29,203,515,262,319,37
051.00	
052.00	180,204,95,133,274,316,175,387,386,39,289,231,492
052.01	180,204,95,133,274,175,386,289,492,575,260,343
053.00	
054.00	95,60,193,248,238,287,109,281,426,227,290,214,485,493,499
055.00	95,60,193,248,238,287,109,281,426,227,290,214,485,493,499
056.00	193,96,68,179,251,279,265,370,227,264,214,400,629
057.00	193,96,68,179,251,279,265,370,227,264,214,400,629
058.00	34,242,37,83,336,257,38,394,234,343,231,24,370,648
059.00	34,242,37,83,336,257,38,394,234,343,231,24,370,648
060.00	54,150,61,114,170,346,301,341,287,283,227,203,352
061.00	54,150,61,114,170,346,301,341,287,283,227,203,352
062.00	54,150,61,114,170,346,301,341,287,283,227,203,352
063.00	227,112,282,7,9,8,379,385,285,470,375,502
064.00	227,112,282,7,9,8,379,385,285,470,375,502
065.00	227,112,282,7,9,8,379,385,285,470,375,502
066.00	96,27,227,265,68,370,7,9,8,418,379,484,282,321,501
067.00	96,27,227,265,68,370,7,9,8,418,379,484,282,321,501
068.00	96,27,227,265,68,370,7,9,8,418,379,484,282,321,501
069.00	227,235,141,275,345,388,321,311,331,363,202,499,438,491,562
070.00	227,235,141,275,345,388,321,311,331,363,202,499,438,491,562
