1	0	Grass	Poison	65	0	34	45	49	49	65	65	45	0.7	6.9
2	0	Grass	Poison	65	0	34	60	62	63	80	80	60	1	13
3	0	Grass	Poison	65	0	34	80	82	83	100	100	80	2	100
3	1	Grass	Poison	47	0	47	80	100	123	122	120	80	2.4	155.5
4	0	Fire		66	0	94	39	52	43	60	50	65	0.6	8.5
5	0	Fire		66	0	94	58	64	58	80	65	80	1.1	19
6	0	Fire	Flying	66	0	94	78	84	78	109	85	100	1.7	90.5
6	1	Fire	Dragon	181	0	181	78	130	111	130	85	100	1.7	110.5
6	2	Fire	Flying	70	0	70	78	104	78	159	115	100	1.7	100.5
7	0	Water		67	0	44	44	48	65	50	64	43	0.5	9
8	0	Water		67	0	44	59	63	80	65	80	58	1	22.5
9	0	Water		67	0	44	79	83	100	85	105	78	1.6	85.5
9	1	Water		178	0	178	79	103	120	135	115	78	1.6	101.1
10	0	Bug		19	0	50	45	30	35	20	20	45	0.3	2.9
11	0	Bug		61	0	61	50	20	55	25	25	30	0.7	9.9
12	0	Bug	Flying	14	0	110	60	45	50	90	80	70	1.1	32
13	0	Bug	Poison	19	0	50	40	35	30	20	20	50	0.3	3.2
14	0	Bug	Poison	61	0	61	45	25	50	25	25	35	0.6	10
15	0	Bug	Poison	68	0	97	65	90	40	45	80	75	1	29.5
15	1	Bug	Poison	91	0	91	65	150	40	15	80	145	1.4	40.5
16	0	Normal	Flying	51	77	145	40	45	40	35	35	56	0.3	1.8
17	0	Normal	Flying	51	77	145	63	60	55	50	50	71	1.1	30
18	0	Normal	Flying	51	77	145	83	80	75	70	70	101	1.5	39.5
18	1	Normal	Flying	99	0	99	83	80	80	135	80	121	2.2	50.5
19	0	Normal		50	62	55	30	56	35	25	35	72	0.3	3.5
19	1	Dark	Normal	82	55	47	30	56	35	25	35	72	0.3	3.8
20	0	Normal		50	62	55	55	81	60	50	70	97	0.7	18.5
20	1	Dark	Normal	82	55	47	75	71	70	40	80	77	0.7	25.5
21	0	Normal	Flying	51	0	97	40	60	30	31	31	70	0.3	2
22	0	Normal	Flying	51	0	97	65	90	65	61	61	100	1.2	38
23	0	Poison		22	61	127	35	60	44	40	54	55	2	6.9
24	0	Poison		22	61	127	60	95	69	65	79	80	3.5	65
25	0	Electric		9	0	31	35	55	40	50	50	90	0.4	6
26	0	Electric		9	0	31	60	90	55	90	80	110	0.8	30
26	1	Electric	Psychic	207		0	60	85	50	95	85	110	0.7	21
27	0	Ground		8	0	146	50	75	85	20	30	40	0.6	12
27	1	Ice	Steel	81		202	50	75	90	10	35	40	0.7	40
28	0	Ground		8	0	146	75	100	110	45	55	65	1	29.5
28	1	Ice	Steel	81		202	75	100	120	25	65	65	1.2	55
29	0	Poison		38	79	55	55	47	52	40	40	41	0.4	7
30	0	Poison		38	79	55	70	62	67	55	55	56	0.8	20
31	0	Poison	Ground	38	79	125	90	92	87	75	85	76	1.3	60
32	0	Poison		38	79	55	46	57	40	40	40	50	0.5	9
33	0	Poison		38	79	55	61	72	57	55	55	65	0.9	19.5
34	0	Poison	Ground	38	79	125	81	102	77	85	75	85	1.4	62
35	0	Fairy		56	98	132	70	45	48	60	65	35	0.6	7.5
36	0	Fairy		56	98	109	95	70	73	95	90	60	1.3	40
37	0	Fire		18	0	70	38	41	40	50	65	65	0.6	9.9
37	1	Ice		81		117	38	41	40	50	65	65	0.6	9.9
38	0	Fire		18	0	70	73	76	75	81	100	100	1.1	19.9
38	1	Ice	Fairy	81		117	73	67	75	81	100	109	1.1	19.9
39	0	Normal	Fairy	56	172	132	115	45	20	45	25	20	0.5	5.5
40	0	Normal	Fairy	56	172	119	140	70	45	85	50	45	1	12
41	0	Poison	Flying	39	0	151	40	45	35	30	40	55	0.8	7.5
42	0	Poison	Flying	39	0	151	75	80	70	65	75	90	1.6	55
43	0	Grass	Poison	34	0	50	45	50	55	75	65	30	0.5	5.4
44	0	Grass	Poison	34	0	1	60	65	70	85	75	40	0.8	8.6
45	0	Grass	Poison	34	0	27	75	80	85	110	90	50	1.2	18.6
46	0	Bug	Grass	27	87	6	35	70	55	45	55	25	0.3	5.4
47	0	Bug	Grass	27	87	6	60	95	80	60	80	30	1	29.5
48	0	Bug	Poison	14	110	50	60	55	50	40	55	45	1	30
49	0	Bug	Poison	19	110	147	70	65	60	90	75	90	1.5	12.5
50	0	Ground		8	71	159	10	55	25	35	45	95	0.2	0.8
50	1	Ground	Steel	8	221	159	10	55	30	35	45	90	0.2	1
51	0	Ground		8	71	159	35	100	50	50	70	120	0.7	33.3
51	1	Ground	Steel	8	221	159	35	100	60	50	70	110	0.7	66.6
52	0	Normal		53	101	127	40	45	35	40	40	90	0.4	4.2
52	1	Dark		53	101	155	40	35	35	50	40	90	0.4	4.2
53	0	Normal		7	101	127	65	70	60	65	65	115	1	32
53	1	Dark		169	101	155	65	60	60	75	65	115	1.1	33
54	0	Water		6	13	33	50	52	48	65	50	55	0.8	19.6
55	0	Water		6	13	33	80	82	78	95	80	85	1.7	76.6
56	0	Fighting		72	83	128	40	80	35	35	45	70	0.5	28
57	0	Fighting		72	83	128	65	105	60	60	70	95	1	32
58	0	Fire		22	18	154	55	70	45	70	50	60	0.7	19
59	0	Fire		22	18	154	90	110	80	100	80	95	1.9	155
60	0	Water		11	6	33	40	50	40	40	40	90	0.6	12.4
61	0	Water		11	6	33	65	65	65	50	50	90	1	20
62	0	Water	Fighting	11	6	33	90	95	95	70	90	70	1.3	54
63	0	Psychic		28	39	98	25	20	15	105	55	90	0.9	19.5
64	0	Psychic		28	39	98	40	35	30	120	70	105	1.3	56.5
65	0	Psychic		28	39	98	55	50	45	135	95	120	1.5	48
